column_cleaned,column_values,column_unit,column_min,column_max
Polystyrene (PS) content per package,,N/A,nan,nan
Wheat straw molded pulp content per package,,N/A,nan,nan
Resolution description,,N/A,nan,nan
Gross weight of outer carton,,N/A,nan,nan
Height (cm) outer carton,,N/A,nan,nan
Length (cm) outer carton,,N/A,nan,nan
Net weight of outer carton,,N/A,nan,nan
Tare weight outer carton,,N/A,nan,nan
Width (cm) outer carton,,N/A,nan,nan
Packaging net weight,,N/A,nan,nan
Packaging tare weight,,N/A,nan,nan
EAN/UPC/GTIN (packaging),,N/A,nan,nan
Batteries included,,N/A,nan,nan
Flash memory,,N/A,nan,nan
Type of shelf-placement,,N/A,nan,nan
BitBlt,,N/A,nan,nan
Dimension note (imperial),,N/A,nan,nan
Dimension note (metric),,N/A,nan,nan
Standard memory note,,N/A,nan,nan
Stereo sound,,N/A,nan,nan
Browsing time,,N/A,nan,nan
Accessories included,,N/A,nan,nan
Maximum number of colours (max video RAM),,N/A,nan,nan
Total (available) slots & bays,,N/A,nan,nan
Built-in processor,,N/A,nan,nan
Camera type,,N/A,nan,nan
Mini-USB 2.0 ports quantity,,N/A,nan,nan
Amplifier,,N/A,nan,nan
Minimum system requirements,,N/A,nan,nan
Internal video modes maximum number of colours,,N/A,nan,nan
Graphic adapter direct 3D support,,N/A,nan,nan
Release date (DD/MM/YYYY),,N/A,nan,nan
Video adapter resolution,,N/A,nan,nan
Energy efficiency class,,N/A,nan,nan
Memory bandwidth (max),,N/A,nan,nan
